date,title,artist,rank,ID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,mode
2000-03-18,If You Love Me,Mint Condition,96.0,spotify:track:3VZMAx8GdrO73kvTZDD8rU,0.606,0.442,385720.0,0.585,5.85e-05,6.0,0.185,-6.012,0.0305,118.736,4.0,1.0
2000-03-18,None Of Ur Friends Business,Ginuwine,92.0,spotify:track:6t8JpJtI0PgVRSuMDGWZlH,0.243,0.83,365800.0,0.414,0.0,9.0,0.627,-11.136,0.197,99.234,4.0,0.0
2000-03-18,Put Your Hand In Mine,Tracy Byrd,99.0,spotify:track:4WMQQm6fiuF9MjCegwDDmf,0.125,0.495,271773.0,0.488,0.0,3.0,0.189,-7.477,0.0309,72.064,4.0,1.0
2000-03-18,Shake Your Bon-Bon,Ricky Martin,93.0,spotify:track:1yKDl9K9lrbIFSpPBzEQtb,0.0942,0.638,192333.0,0.937,0.0,0.0,0.327,-4.642,0.0444,100.03,4.0,1.0
2000-03-18,Still In My Heart,Tracie Spencer,98.0,spotify:track:6zAmV2YJovLGTBO2bk5HGG,0.307,0.674,257240.0,0.529,2.23e-06,0.0,0.0725,-6.188,0.025,89.913,4.0,1.0
2000-03-18,24/7,Kevon Edmonds,87.0,spotify:track:4rZB2G955dQMcjlb7e3VNB,0.0685,0.696,274267.0,0.627,0.0,4.0,0.0993,-5.629,0.0334,116.047,4.0,1.0
2000-03-18,Get Up,Amel Larrieux,97.0,spotify:track:5YzK2kmIM7cdpRbv0iGaEs,0.31,0.631,244867.0,0.494,1.77e-05,11.0,0.064,-8.335,0.101,88.559,4.0,0.0
2000-03-18,Hanginaround,Counting Crows,66.0,spotify:track:0LWINYMC4s8QTdDSb1B3Q3,0.295,0.503,247333.0,0.785,0.0,0.0,0.744,-6.571,0.0743,91.464,4.0,1.0
2000-03-18,If You Love Me,Mint Condition,96.0,spotify:track:3VZMAx8GdrO73kvTZDD8rU,0.606,0.442,385720.0,0.585,5.85e-05,6.0,0.185,-6.012,0.0305,118.736,4.0,1.0
2000-03-18,None Of Ur Friends Business,Ginuwine,92.0,spotify:track:6t8JpJtI0PgVRSuMDGWZlH,0.243,0.83,365800.0,0.414,0.0,9.0,0.627,-11.136,0.197,99.234,4.0,0.0
2000-03-18,Put Your Hand In Mine,Tracy Byrd,99.0,spotify:track:4WMQQm6fiuF9MjCegwDDmf,0.125,0.495,271773.0,0.488,0.0,3.0,0.189,-7.477,0.0309,72.064,4.0,1.0
2000-03-18,Shake Your Bon-Bon,Ricky Martin,93.0,spotify:track:1yKDl9K9lrbIFSpPBzEQtb,0.0942,0.638,192333.0,0.937,0.0,0.0,0.327,-4.642,0.0444,100.03,4.0,1.0
2000-03-18,Still In My Heart,Tracie Spencer,98.0,spotify:track:6zAmV2YJovLGTBO2bk5HGG,0.307,0.674,257240.0,0.529,2.23e-06,0.0,0.0725,-6.188,0.025,89.913,4.0,1.0
2000-03-25,Angels,Robbie Williams,95.0,spotify:track:7fH9ZS8gezOtky5bkYHvCN,0.151,0.437,265733.0,0.586,3.13e-06,4.0,0.0996,-6.708,0.0274,150.14,4.0,1.0
2000-03-25,Dear Lie,TLC,92.0,spotify:track:08vjsE3N31ai3ARwj5uW2i,0.0376,0.548,310760.0,0.444,0.0,0.0,0.179,-8.734,0.0293,173.834,4.0,1.0
2000-03-25,Do What You Gotta Do,Garth Brooks,77.0,spotify:track:5PVqGDjrL3AzbgRbqwIieC,0.298,0.601,185160.0,0.485,0.000217,2.0,0.297,-11.956,0.0337,132.892,4.0,1.0
